Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Actual_Revenue,Purchase_Probability,Intent_Segment
0,0.0,0,0.0,12,592.5,0.0,0.022222222,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,0,0,0.016100178890876567,Low Intent
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,1,1,1,3,Returning_Visitor,0,0,0.016100178890876567,Low Intent
0,0.0,0,0.0,19,421.6,0.068421053,0.077192982,6.624947368,0.6,May,3,2,2,13,Returning_Visitor,0,1,0.3225806451612903,Medium Intent
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,3,2,8,4,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
7,251.75,0,0.0,5,50.0,0.0,0.05,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,0,0,0.02480477721635278,Low Intent
3,284.2,0,0.0,22,2366.6,0.036,0.064,0.0,0.0,Oct,1,1,8,1,Returning_Visitor,1,0,0.02480477721635278,Low Intent
5,134.5,0,0.0,11,237.6666667,0.0,0.018181818,0.0,0.0,Dec,3,2,2,2,Returning_Visitor,0,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,3,2,3,3,Returning_Visitor,0,0,0.05405405405405406,Low Intent
7,51.70833333,2,280.5,149,7569.182143,8.01e-05,0.016297591,11.37726052,0.0,Nov,2,2,2,2,Returning_Visitor,0,1,0.5428571428571428,Medium Intent
0,0.0,0,0.0,15,907.5,0.006666667,0.031111111,0.0,0.6,May,2,2,7,2,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
0,0.0,0,0.0,16,865.5833333,0.0,0.002083333,93.77761706,0.0,Dec,1,1,1,2,New_Visitor,1,1,0.964,High Intent
1,21.0,0,0.0,11,385.0,0.0,0.02,0.0,0.6,May,2,2,3,2,Returning_Visitor,0,0,0.02480477721635278,Low Intent
1,10.0,0,0.0,16,120.0,0.053333333,0.08,0.0,0.0,May,2,2,6,4,Returning_Visitor,0,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,May,2,2,1,4,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
3,78.0,0,0.0,27,672.5833333,0.0125,0.039583333,8.07853125,0.0,May,2,2,4,4,Returning_Visitor,0,1,0.3225806451612903,Medium Intent
16,381.6731217,3,199.4,86,1618.40328,0.015067698,0.022043153,3.885233567,0.0,Jul,3,2,8,4,Returning_Visitor,0,1,0.21727748691099477,Low Intent
0,0.0,0,0.0,27,187.0,0.0,0.022222222,0.0,0.0,May,4,2,7,4,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
5,200.0,1,0.0,33,1606.831818,0.0,0.026619133,0.0,0.0,May,3,2,5,2,Returning_Visitor,0,0,0.02480477721635278,Low Intent
4,138.3333333,0,0.0,3,277.5,0.0,0.011111111,0.0,0.0,May,3,3,3,2,New_Visitor,0,0,0.02480477721635278,Low Intent
7,288.5208333,0,0.0,12,402.3958333,0.0,0.002857143,0.0,0.0,Dec,1,1,8,2,New_Visitor,1,0,0.02480477721635278,Low Intent
5,825.0,0,0.0,33,808.1666667,0.0,0.005405405,20.85956757,0.0,Mar,2,4,9,10,New_Visitor,0,1,0.7888446215139442,High Intent
0,0.0,0,0.0,6,111.75,0.0,0.066666667,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,0,0,0.016100178890876567,Low Intent
9,128.5714286,1,10.66666667,75,2755.336111,0.0028125,0.012821256,8.569134167,0.0,May,4,2,6,13,Returning_Visitor,1,0,0.21727748691099477,Low Intent
1,4.0,0,0.0,18,143.85,0.0,0.034117647,0.0,0.0,May,2,2,3,3,Returning_Visitor,0,0,0.02480477721635278,Low Intent
5,266.0,0,0.0,29,730.35,0.006060606,0.026262626,32.91300914,0.0,Nov,4,1,8,1,Returning_Visitor,0,1,0.39849624060150374,Medium Intent
4,143.0666667,1,6.5,74,1294.405,0.002666667,0.010666667,0.0,0.0,Aug,2,2,3,1,Returning_Visitor,1,0,0.02480477721635278,Low Intent
4,202.0,0,0.0,28,714.9666667,0.014666667,0.016973138,0.0,0.0,May,1,1,1,4,Returning_Visitor,1,0,0.02480477721635278,Low Intent
1,63.5,0,0.0,10,552.3333333,0.0,0.016363636,0.0,0.0,Dec,1,1,4,10,Returning_Visitor,0,0,0.02480477721635278,Low Intent
4,38.30555556,0,0.0,52,1630.972222,0.012,0.026,0.0,1.0,May,6,5,3,2,Returning_Visitor,1,0,0.02480477721635278,Low Intent
3,76.75,1,0.0,36,1100.916667,0.007692308,0.015262515,18.99269231,0.0,May,2,2,1,2,Returning_Visitor,0,0,0.5756097560975609,Medium Intent
2,227.6,0,0.0,115,5284.816825,0.0,0.002849003,0.0,0.0,Oct,2,2,4,4,Returning_Visitor,0,0,0.02480477721635278,Low Intent
1,78.0,1,14.0,37,935.5571429,0.0,0.027027027,67.73686486,0.0,May,2,2,1,3,Returning_Visitor,0,0,0.964,High Intent
0,0.0,0,0.0,3,578.0,0.0,0.066666667,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,0,0,0.05405405405405406,Low Intent
0,0.0,0,0.0,6,185.5,0.016666667,0.05,0.0,0.0,Dec,2,2,3,8,New_Visitor,0,0,0.016100178890876567,Low Intent
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,1,1,9,4,Returning_Visitor,1,0,0.0012126111560226355,Low Intent
9,255.4166667,2,94.16666667,22,612.8194444,0.015018315,0.025760906,22.31126324,0.0,Nov,3,2,4,2,Returning_Visitor,1,1,0.39849624060150374,Medium Intent
3,49.5,0,0.0,22,458.25,0.02,0.056666667,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,0,0,0.05405405405405406,Low Intent
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,Mar,3,2,1,10,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
0,0.0,0,0.0,6,82.5,0.0,0.033333333,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,0,0,0.016100178890876567,Low Intent
4,50.33333333,0,0.0,3,28.33333333,0.0,0.016666667,0.0,0.0,Dec,2,2,9,10,Returning_Visitor,0,0,0.02480477721635278,Low Intent
2,70.6,0,0.0,30,515.2333333,0.0,0.02,0.0,0.0,Aug,1,1,3,1,Returning_Visitor,0,0,0.02480477721635278,Low Intent
8,246.5333333,0,0.0,79,2150.433333,0.007228916,0.020883534,17.35448787,0.0,Nov,1,1,1,3,Returning_Visitor,0,0,0.39849624060150374,Medium Intent
3,105.0,0,0.0,34,603.7071429,0.0,0.003714286,14.75710476,0.0,May,1,1,1,3,Returning_Visitor,0,1,0.5813953488372093,Medium Intent
3,69.16666667,0,0.0,35,869.0611111,0.0,0.00617284,0.0,0.8,May,2,2,1,2,Returning_Visitor,0,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,25,629.5,0.0,0.01447619,0.0,0.0,May,2,2,1,13,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
1,58.0,0,0.0,33,647.625,0.0,0.00625,0.0,0.0,Dec,3,2,3,2,New_Visitor,0,0,0.02480477721635278,Low Intent
1,8.0,0,0.0,11,701.0,0.0,0.016666667,0.0,0.0,Aug,2,2,1,2,Returning_Visitor,0,0,0.02480477721635278,Low Intent
3,60.0,0,0.0,29,1846.63547,0.006896552,0.040147783,0.0,0.0,May,3,2,8,6,Returning_Visitor,0,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,53,2052.125,0.0,0.003921569,52.49862029,0.0,Nov,2,4,2,2,New_Visitor,1,1,0.964,High Intent
0,0.0,0,0.0,8,731.0,0.0,0.04375,0.0,0.0,Mar,2,4,1,3,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
1,12.6,0,0.0,6,140.7,0.0,0.00952381,15.89480154,0.0,Jul,2,10,3,2,Returning_Visitor,1,1,0.7916666666666666,High Intent
2,67.5,0,0.0,11,294.0,0.0,0.009090909,0.0,0.0,Dec,1,1,3,8,Returning_Visitor,1,0,0.02480477721635278,Low Intent
2,9.166666667,2,24.0,80,5426.022078,0.01287478,0.033915963,0.0,0.0,May,2,2,6,13,Returning_Visitor,0,0,0.02480477721635278,Low Intent
4,98.5,0,0.0,9,281.75,0.0,0.030909091,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,0,0,0.02480477721635278,Low Intent
2,75.05,0,0.0,106,4143.175238,0.019711538,0.03900641,4.484328486,0.0,Aug,3,2,1,1,Returning_Visitor,0,0,0.21727748691099477,Low Intent
1,45.0,0,0.0,13,1610.916667,0.0,0.007142857,0.0,0.0,Mar,1,1,1,3,New_Visitor,1,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,10,316.5,0.0,0.025,17.538,0.0,Mar,2,4,1,8,New_Visitor,1,1,0.7916666666666666,High Intent
0,0.0,0,0.0,5,0.0,0.2,0.2,0.0,0.4,May,3,2,4,13,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
1,43.0,0,0.0,38,1348.7,0.0,0.028376068,2.561538462,0.0,May,2,6,1,1,Returning_Visitor,0,0,0.5813953488372093,Medium Intent
2,34.5,0,0.0,17,491.8333333,0.0,0.014705882,0.0,0.0,Dec,1,1,3,2,New_Visitor,0,0,0.02480477721635278,Low Intent
2,26.2,0,0.0,4,487.6,0.0,0.025,0.0,0.0,Sep,2,2,1,4,Returning_Visitor,0,0,0.09202453987730061,Low Intent
0,0.0,0,0.0,8,133.0,0.0,0.025,0.0,0.0,May,1,1,1,3,Returning_Visitor,1,0,0.0012126111560226355,Low Intent
0,0.0,0,0.0,23,1375.916667,0.039130435,0.093478261,0.0,0.0,Nov,3,2,8,13,Returning_Visitor,0,0,0.05405405405405406,Low Intent
2,23.0,0,0.0,18,657.25,0.0,0.0125,0.0,0.0,Dec,2,2,9,2,New_Visitor,0,0,0.02480477721635278,Low Intent
8,72.25,1,21.5,51,1124.693074,0.022807018,0.036550087,0.0,0.0,Mar,2,2,2,2,Returning_Visitor,0,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,4,2.333333333,0.15,0.1625,0.0,0.0,May,2,2,4,13,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
2,51.0,3,68.75,227,12460.67006,0.007569141,0.014819782,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,0,0,0.2736318407960199,Low Intent
0,0.0,0,0.0,9,218.0,0.0,0.033333333,0.0,0.0,Mar,2,2,6,3,Returning_Visitor,1,0,0.0012126111560226355,Low Intent
4,47.0,0,0.0,6,173.0,0.0125,0.0375,0.0,0.0,May,1,2,2,2,Returning_Visitor,0,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,Mar,3,2,3,1,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
0,0.0,0,0.0,1,8.0,0.0,0.0,0.0,0.0,Sep,2,2,2,1,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
0,0.0,2,31.0,3,47.0,0.04,0.08,0.0,0.0,Mar,1,1,6,1,Returning_Visitor,1,0,0.0012126111560226355,Low Intent
0,0.0,0,0.0,6,330.0,0.066666667,0.1,0.0,0.0,Mar,3,2,8,10,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
2,115.2,0,0.0,7,211.1,0.0,0.0,0.0,0.0,Jul,2,2,2,2,New_Visitor,1,0,0.128,Low Intent
0,0.0,0,0.0,4,49.5,0.0,0.016666667,0.0,0.0,Mar,2,2,9,2,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
5,59.0,0,0.0,152,7114.798341,0.002597403,0.010709751,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,0,0,0.2736318407960199,Low Intent
9,433.8,2,6.0,28,728.7,0.0,0.009803922,0.0,0.0,Oct,2,10,1,3,Returning_Visitor,0,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,5,125.0,0.086666667,0.166666667,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
9,247.05,4,72.0,10,159.3,0.0125,0.058333333,0.0,0.0,Nov,1,1,1,10,Returning_Visitor,0,0,0.16853932584269662,Low Intent
0,0.0,0,0.0,6,268.4,0.0,0.04,0.0,0.0,Jul,2,4,9,6,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
4,97.0,0,0.0,22,739.5833333,0.009090909,0.006060606,0.0,0.0,May,1,1,6,4,New_Visitor,1,0,0.02480477721635278,Low Intent
0,0.0,1,24.5,46,1031.133333,0.004680851,0.034267293,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,1,0,0.05405405405405406,Low Intent
6,253.75,3,33.0,19,569.5138889,0.023076923,0.03034188,0.0,0.2,May,3,2,2,3,Returning_Visitor,0,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,6,313.0,0.0,0.05,0.0,0.0,May,2,4,3,1,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
0,0.0,0,0.0,2,11.0,0.0,0.1,0.0,0.0,Jul,2,2,1,1,Returning_Visitor,1,0,0.0012126111560226355,Low Intent
5,44.0,0,0.0,131,3865.838889,0.006458094,0.023900203,0.818306551,0.0,Nov,2,2,3,2,Returning_Visitor,1,1,0.2736318407960199,Low Intent
0,0.0,0,0.0,1,13.0,0.0,0.05,0.0,0.0,May,3,2,1,3,New_Visitor,0,0,0.0012126111560226355,Low Intent
3,206.6666667,0,0.0,15,936.1666667,0.01875,0.09375,0.0,0.0,Mar,2,4,3,1,Returning_Visitor,0,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,77,4346.541667,0.003070175,0.023099415,0.0,0.0,Mar,4,1,1,2,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
0,0.0,0,0.0,46,1014.375,0.008695652,0.026449275,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,1,0,0.016100178890876567,Low Intent
2,137.0,0,0.0,6,185.4,0.0,0.028571429,44.89345937,0.0,Oct,2,2,7,4,Returning_Visitor,0,1,0.7888446215139442,High Intent
3,36.2,0,0.0,16,166.7062706,0.0,0.014705882,0.0,0.0,Aug,2,2,6,5,New_Visitor,0,0,0.02480477721635278,Low Intent
6,615.25,0,0.0,68,2524.719048,0.0,0.000175593,0.0,0.0,Mar,1,2,6,1,Returning_Visitor,0,0,0.02480477721635278,Low Intent
2,47.0,1,0.0,20,738.9107143,0.017391304,0.023671498,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,0,0,0.05405405405405406,Low Intent
1,10.0,1,0.0,69,2124.726768,0.002898551,0.009090177,0.0,0.0,Mar,2,2,2,1,Returning_Visitor,0,0,0.02480477721635278,Low Intent
0,0.0,0,0.0,8,32.2,0.125,0.15,0.0,0.0,June,1,1,1,3,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
8,839.0,0,0.0,72,1248.242262,0.0,0.002597403,13.36332468,0.0,May,3,2,6,3,Returning_Visitor,1,0,0.2839506172839506,Low Intent
0,0.0,0,0.0,69,1002.104167,0.0,0.013140097,0.0,0.0,Nov,2,2,4,2,Returning_Visitor,0,0,0.05405405405405406,Low Intent
0,0.0,0,0.0,17,639.7566667,0.0,0.011764706,63.45892077,0.0,Oct,2,2,3,4,New_Visitor,0,1,0.964,High Intent
1,0.0,0,0.0,9,219.0,0.03030303,0.066666667,22.89636364,0.0,May,2,2,1,1,Returning_Visitor,0,1,0.5756097560975609,Medium Intent
0,0.0,0,0.0,10,444.5,0.0,0.02,13.9394091,0.0,Nov,2,2,1,1,Returning_Visitor,0,1,0.5813953488372093,Medium Intent
6,49.18333333,0,0.0,44,1065.501515,0.006333333,0.036774359,53.22268667,0.4,May,2,2,2,2,Returning_Visitor,0,0,0.5756097560975609,Medium Intent
3,18.0,0,0.0,14,411.5,0.0,0.023529412,0.0,0.0,Mar,2,2,8,2,Returning_Visitor,0,0,0.02480477721635278,Low Intent
15,584.2,0,0.0,73,2693.963452,0.0,0.001298701,0.0,0.0,Nov,3,2,4,13,Returning_Visitor,0,0,0.16939890710382513,Low Intent
0,0.0,0,0.0,3,29.0,0.0,0.066666667,0.0,0.0,May,2,2,1,4,Returning_Visitor,1,0,0.0012126111560226355,Low Intent
0,0.0,0,0.0,23,1215.666667,0.0,0.004761905,0.0,0.0,Dec,2,2,5,2,New_Visitor,0,0,0.016100178890876567,Low Intent
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2,2,2,3,Returning_Visitor,0,0,0.0012126111560226355,Low Intent
0,0.0,0,0.0,2,19.0,0.0,0.1,0.0,1.0,May,1,2,3,2,Returning_Visitor,1,0,0.0012126111560226355,Low Intent
7,397.8333333,0,0.0,28,1249.628205,0.0,0.015053763,0.0,0.0,May,3,2,7,6,Returning_Visitor,0,0,0.02480477721635278,Low Intent
3,223.3333333,2,19.75,37,1118.987027,0.003252033,0.018958927,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,1,0,0.16853932584269662,Low Intent
0,0.0,0,0.0,25,952.6777778,0.0,0.023541667,23.57537117,0.0,Nov,2,2,3,11,Returning_Visitor,0,1,0.964,High Intent
1,19.0,0,0.0,29,605.6722222,0.003448276,0.025517241,0.0,0.8,May,3,2,3,6,Returning_Visitor,0,0,0.02480477721635278,Low Intent
9,146.0,0,0.0,49,1592.133333,0.003636364,0.02,3.490036364,0.0,May,2,2,3,4,Returning_Visitor,1,0,0.21727748691099477,Low Intent
0,0.0,0,0.0,7,43.0,0.085714286,0.121428571,0.0,0.0,Dec,3,2,1,1,Returning_Visitor,0,0,0.016100178890876567,Low Intent
1,113.0,0,0.0,13,935.0,0.0,0.027272727,0.0,0.6,May,1,1,1,2,New_Visitor,0,0,0.02480477721635278,Low Intent
